"Coco","8.5","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","SU","1h 45min","2017","Lee UnkrichAdrian Molina","","","789961352152018"
"The Shining","8.4","A family heads to an isolated hotel for the winter where an evil spiritual presence influences the father into violence, while his psychic son sees horrific forebodings from the past and of the future.","","Drama","1980","Stanley Kubrick","19000000","",""
"Django Unchained","8.4","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","R","2h 45min","2012","Quentin Tarantino","100000000","","425368238"
"WALL·E","8.4","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","","Animation","2008","Andrew Stanton","180000000","","534767889222009"
"Mononoke-hime","8.4","On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.","PG-13","2h 14min","1997","Hayao Miyazaki","2400000000","","159375308"
"American Beauty","8.4","A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.","R","2h 2min","1999","Sam Mendes","15000000","","226200000"
"The Dark Knight Rises","8.4","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.","PG-13","2h 44min","2012","Christopher Nolan","250000000","","1084939099"
"Witness for the Prosecution","8.4","A veteran British barrister must defend his client in a murder trial that has surprise after surprise.","","Crime","1957","Billy Wilder","3000000","","9000000311960"
"Oldeuboi","8.4","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.","R","2h","2003","Chan-wook Park","3000000","","14272524"
"Aliens","8.4","Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?","R","2h 17min","1986","James Cameron","18500000","","131060248"
"Once Upon a Time in America","8.4","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.","R","3h 49min","1984","Sergio Leone","30000000","",""
"Das Boot","8.4","The claustrophobic world of a WWII German U-boat; boredom, filth, and sheer terror.","R","2h 29min","1981","Wolfgang Petersen","14000000","","73482661"
"Citizen Kane","8.4","Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.","PG","1h 59min","1941","Orson Welles","839727","",""
"North by Northwest","8.4","A hapless New York advertising executive is mistaken for a government agent by a group of foreign spies, and is pursued across the country while he looks for a way to survive.","","Adventure","1959","Alfred Hitchcock","3101000","","22213000"
"Vertigo","8.3","A San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.","PG","2h 8min","1958","Alfred Hitchcock","2479000","","25000000311998"
"Braveheart","8.4","When his secret bride is executed for assaulting an English soldier who tried to rape her, Sir William Wallace begins a revolt against King Edward I of England.","R","2h 58min","1995","Mel Gibson","72000000","","210409945312012"
"Reservoir Dogs","8.3","After a simple jewelry heist goes terribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","R","1h 39min","1992","Quentin Tarantino","1200000","",""
"Star Wars: Episode VI - Return of the Jedi","8.3","After a daring mission to rescue Han Solo from Jabba the Hutt, the rebels dispatch to Endor to destroy a more powerful Death Star. Meanwhile, Luke struggles to help Vader back from the dark side without falling into the Emperor's trap.","PG","2h 11min","1983","Richard Marquand","32500000","","572705079312015"
"M","8.4","When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.","","Crime","1931","Fritz Lang","","",""
"Dangal","8.5","Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.","","Action","2016","Nitesh Tiwari","700000000","","310000000272017"
"Kimi no na wa.","8.4","Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","PG","1h 46min","2016","Makoto Shinkai","","","357986087"
"Requiem for a Dream","8.3","The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.","R","1h 42min","2000","Darren Aronofsky","4500000","","7390108"
"Taare Zameen Par","8.5","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","PG","2h 45min","2007","Aamir KhanAmole Gupte","","",""
"Amadeus","8.3","The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporary composer who was insanely jealous of Mozart's talent and claimed to have murdered him.","R","2h 40min","1984","Milos Forman","18000000","",""
"Amélie","8.3","Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.","R","2h 2min","2001","Jean-Pierre Jeunet","77000000","","173921954"
"A Clockwork Orange","8.3","In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.","","Crime","1971","Stanley Kubrick","2200000","",""
"Lawrence of Arabia","8.3","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","","Adventure","1962","David Lean","15000000","","77324144"
"Eternal Sunshine of the Spotless Mind","8.3","When their relationship turns sour, a young couple undergoes a medical procedure to have each other erased from their memories.","R","1h 48min","2004","Michel Gondry","20000000","","73169222"
"Double Indemnity","8.3","An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses an insurance investigator's suspicions.","","Crime","1944","Billy Wilder","927262","",""
"Taxi Driver","8.3","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action, while attempting to liberate a twelve-year-old prostitute.","","Crime","1976","Martin Scorsese","1300000","",""
"Singin' in the Rain","8.3","A silent film production company and cast make a difficult transition to sound.","G","1h 43min","1952","Stanley DonenGene Kelly","2540800","","13979088"
"3 Idiots","8.4","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".","PG-13","2h 50min","2009","Rajkumar Hirani","550000000","","8000000072010"
"2001: A Space Odyssey","8.3","Humanity finds a mysterious, obviously artificial object buried beneath the Lunar surface and, with the intelligent computer H.A.L. 9000, sets off on a quest.","","Adventure","1968","Stanley Kubrick","12000000","","190700000"
"Toy Story","8.3","A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.","","Animation","1995","John Lasseter","30000000","","373554033"
"To Kill a Mockingbird","8.3","Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.","","Crime","1962","Robert Mulligan","2000000","",""
"Full Metal Jacket","8.3","A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.","","Drama","1987","Stanley Kubrick","30000000","",""
"Inglourious Basterds","8.3","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","R","2h 33min","2009","Quentin TarantinoEli Roth","75000000","","313600000"
"Ladri di biciclette","8.3","In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.","","Drama","1948","Vittorio De Sica","133000","",""
"The Sting","8.3","Two grifters team up to pull off the ultimate con.","","Comedy","1973","George Roy Hill","5500000","",""
"The Kid","8.3","The Tramp cares for an abandoned child, but events put that relationship in jeopardy.","","Comedy","1921","Charles Chaplin","250000","",""
"Toy Story 3","8.3","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","","Animation","2010","Lee Unkrich","200000000","","106317191112011"
"Snatch","8.3","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","R","1h 44min","2000","Guy Ritchie","6000000","","83557872"
"Good Will Hunting","8.3","Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.","R","2h 6min","1997","Gus Van Sant","10000000","","225933435"
"Jagten","8.3","A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.","R","1h 55min","2012","Thomas Vinterberg","3800000","","18309793"
"Monty Python and the Holy Grail","8.3","King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","","Adventure","1975","Terry GilliamTerry Jones","229575","",""
"Per qualche dollaro in più","8.3","Two bounty hunters with the same intentions team up to track down a Western outlaw.","R","2h 12min","1965","Sergio Leone","600000","",""
"Scarface","8.3","In Miami in 1980, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.","","Crime","1983","Brian De Palma","25000000","","65884703"
"L.A. Confidential","8.3","As corruption grows in 1950s LA, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.","R","2h 18min","1997","Curtis Hanson","35000000","","126216940"
"The Apartment","8.3","A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.","","Comedy","1960","Billy Wilder","3000000","","25000000311970"
"Metropolis","8.3","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.","","Drama","1927","Fritz Lang","6000000","",""
"Jodaeiye Nader az Simin","8.3","A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.","PG-13","2h 3min","2011","Asghar Farhadi","500000","","24426169"
"Rashômon","8.3","A heinous crime and its aftermath are recalled from differing points of view.","","Crime","1950","Akira Kurosawa","250000","",""
"Indiana Jones and the Last Crusade","8.3","When Dr. Henry Jones, Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Dr. Henry ""Indiana"" Jones, Jr. must follow in his father's footsteps to stop the Nazis from getting their hands on the Holy Grail first.","PG-13","2h 7min","1989","Steven Spielberg","48000000","","474171806162012"
"Up","8.3","Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway.","PG","1h 36min","2009","Pete DocterBob Peterson","175000000","","731342744252011"
"Yôjinbô","8.3","A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.","","Action","1961","Akira Kurosawa","","",""
"All About Eve","8.3","An ingenue insinuates herself into the company of an established but aging stage actress and her circle of theater friends.","","Drama","1950","Joseph L. Mankiewicz","1400000","",""
"Batman Begins","8.3","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from the corruption that Scarecrow and the League of Shadows have cast upon it.","D","2h 20min","2005","Christopher Nolan","150000000","","374218673"
"Some Like It Hot","8.3","When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.","","Comedy","1959","Billy Wilder","2883848","",""
"Unforgiven","8.2","Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner and a young man.","R","2h 10min","1992","Clint Eastwood","14400000","","159157447"
"The Treasure of the Sierra Madre","8.3","Fred Dobbs and Bob Curtin, two Americans searching for work in Mexico, convince an old prospector to help them mine for gold in the Sierra Madre Mountains.","","Adventure","1948","John Huston","3000000","",""
"Babam ve Oglum","8.5","The family of a left-wing journalist is torn apart after a military coup in 1980's Turkey.","","Drama","2005","Çagan Irmak","","",""
